ID,Name,Generation,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Sprite URL,promedio_estadisticas
1,Bulbasaur,1,Grass,Poison,45,49,49,65,65,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,53.0
2,Ivysaur,1,Grass,Poison,60,62,63,80,80,60,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,67.5
3,Venusaur,1,Grass,Poison,80,82,83,100,100,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,87.5
4,Charmander,1,Fire,,39,52,43,60,50,65,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,51.5
5,Charmeleon,1,Fire,,58,64,58,80,65,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,67.5
6,Charizard,1,Fire,Flying,78,84,78,109,85,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,89.0
7,Squirtle,1,Water,,44,48,65,50,64,43,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,52.33
8,Wartortle,1,Water,,59,63,80,65,80,58,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,67.5
9,Blastoise,1,Water,,79,83,100,85,105,78,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,88.33
10,Caterpie,1,Bug,,45,30,35,20,20,45,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,32.5
11,Metapod,1,Bug,,50,20,55,25,25,30,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,34.17
12,Butterfree,1,Bug,Flying,60,45,50,90,80,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,65.83
13,Weedle,1,Bug,Poison,40,35,30,20,20,50,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,32.5
14,Kakuna,1,Bug,Poison,45,25,50,25,25,35,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,34.17
15,Beedrill,1,Bug,Poison,65,90,40,45,80,75,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,65.83
16,Pidgey,1,Normal,Flying,40,45,40,35,35,56,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,41.83
17,Pidgeotto,1,Normal,Flying,63,60,55,50,50,71,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,58.17
18,Pidgeot,1,Normal,Flying,83,80,75,70,70,101,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,79.83
19,Rattata,1,Normal,,30,56,35,25,35,72,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,42.17
20,Raticate,1,Normal,,55,81,60,50,70,97,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,68.83
21,Spearow,1,Normal,Flying,40,60,30,31,31,70,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,43.67
22,Fearow,1,Normal,Flying,65,90,65,61,61,100,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,73.67
23,Ekans,1,Poison,,35,60,44,40,54,55,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,48.0
24,Arbok,1,Poison,,60,95,69,65,79,80,False,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,74.67
